date,Asset_ID,Asset_Name,Weight,Open,High,Low,Close,Volume,VWAP
2018-01-01,0,Binance Coin,4.30406509320417,8.53,8.7,7.8,8.4381,663279.3,8.268735079568508
2018-01-01,9,Litecoin,2.3978952727983707,225.33,237.77,212.74,223.9,479182.64385753,223.9773958984372
2018-01-01,6,Ethereum,5.8944028342648505,738.3025,772.98,716.8,757.39,273985.13207136,745.6030944883344
2018-01-01,5,EOS.IO,1.3862943611198906,7.6596,7.95,7.2,7.6401,1833038.0903465198,7.642578555180565
2018-01-01,1,Bitcoin,6.779921907472252,13835.194,14442.9,12750.0,13468.698,57889.81103233,13439.704032419373
2018-01-01,11,Monero,1.6094379124341005,329.09,348.3,316.06,340.345,28705.20332746,330.75613037938837
2018-01-02,9,Litecoin,2.3978952727983707,224.384,265.0,222.75,251.286,1180958.7295942,245.31832141612117
2018-01-02,6,Ethereum,5.8944028342648505,757.7249999999998,899.5,749.06,859.675,852029.27408137,847.2223515375409
2018-01-02,1,Bitcoin,6.779921907472252,13459.606000000002,15500.0,12798.0,14743.424000000005,105541.24576353001,13885.54877426316
2018-01-02,0,Binance Coin,4.30406509320417,8.463,9.1133,8.0922,8.6996,1267257.37,8.523795395110051
2018-01-02,5,EOS.IO,1.3862943611198906,7.657999999999999,8.6,7.622000000000001,8.309,4289508.42674989,8.156978564447833
2018-01-02,11,Monero,1.6094379124341005,340.625,373.74,320.0,365.16,70579.15479073,355.4068043404029
2018-01-03,5,EOS.IO,1.3862943611198906,8.3099,9.4362,7.8343,9.4053,4026630.53169943,8.239223544722849
2018-01-03,6,Ethereum,5.8944028342648505,859.9000000000002,954.73,810.0,935.4225,673171.53570921,882.6553055123859
2018-01-03,11,Monero,1.6094379124341005,365.0,390.0,359.01,385.03,54107.81856638,374.58444897822653
2018-01-03,9,Litecoin,2.3978952727983707,251.212,261.49,233.56,243.256,837544.2303970701,247.7966509617993
2018-01-03,0,Binance Coin,4.30406509320417,8.711,9.4697,8.2653,9.288,945805.4,8.70523795725194
